,URW NA Equity,VIE FP Equity,VIV FP Equity,ORA FP Equity,EN FP Equity,SOLB BB Equity,AC FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,LG FP Equity,ENGI FP Equity,FR FP Equity,FTI FP Equity,STM FP Equity,SU FP Equity,SW FP Equity,ACA FP Equity,AI FP Equity,AIR FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,SGO FP Equity,LI FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,GLE FP Equity,GTO NA Equity,HOLN FP Equity,KER FP Equity,ALO FP Equity,ALU FP Equity,ATO FP Equity,BN FP Equity,TEC FP Equity,TTE FP Equity,UG FP Equity,UL NA Equity,MT NA Equity,NOKIA FP Equity,OR FP Equity,BNP FP Equity,CA FP Equity,CAP FP Equity,CS FP Equity,DG FP Equity,DSY FP Equity,EDF FP Equity,EL FP Equity
2017-07-28,213.45,18.0059,5.7652,14.325,36.345,121.25,39.55,64.59,117.9,428.7,59.96,13.64,59.4,18.3948,14.24,66.96,100.35,14.945,78.8881,72.38,76.92,80.16,81.1478,47.41,34.64,61.14,213.15,28.7,49.955,43.43,50.69,272.78,28.3369,3.5,96.7908,63.65,67.4,42.99,18.325,213.45,22.025,5.386,176.05,66.1,20.675,92.52,25.145,75.33,16.612,8.2359,111.6
2017-07-31,211.35,18.3723,5.6896,14.22,36.245,121.3,39.26,63.91,117.25,428.0,59.96,13.605,58.54,17.9558,14.43,66.35,99.83,14.85,77.9113,70.6,76.16,79.93,80.2825,46.89,34.375,58.4,212.7,28.5875,49.6,43.06,50.76,274.68,28.0819,3.5,97.1311,63.09,67.4,42.96,18.185,211.35,22.195,5.4,175.1,65.57,20.305,92.0,24.96,75.74,16.578,8.1958,107.1
2017-08-01,213.75,18.4157,5.8509,14.26,36.855,123.6,39.785,63.75,116.85,431.9,59.96,13.73,58.57,17.6731,14.37,66.91,100.2,14.845,78.2119,72.03,76.55,80.74,79.2581,47.485,34.655,59.32,215.9,28.6625,50.16,43.065,51.07,274.77,28.2488,3.5,97.6604,63.13,67.4,43.445,18.32,213.75,22.0,5.504,175.9,66.79,20.295,93.33,25.12,75.45,16.84,8.2168,106.75
2017-08-02,213.7,18.3337,5.819,14.235,36.7,122.3,40.305,63.06,117.15,432.85,59.96,13.645,57.83,17.5169,14.505,67.39,98.8,14.8,77.9113,71.01,75.89,79.31,79.5863,47.33,34.52,59.11,215.05,28.675,48.15,43.36,50.57,277.38,28.0309,3.5,97.1689,63.45,67.4,43.64,18.095,213.7,21.32,5.506,174.95,66.56,20.3,91.78,25.3,74.68,16.766,8.2302,106.2
2017-08-03,214.05,18.3192,5.848,14.3,37.14,124.55,40.505,63.65,117.3,440.7,59.96,13.65,57.8,17.3495,14.67,67.37,99.08,14.815,78.3246,71.28,75.47,79.6,79.9841,47.65,34.455,59.11,219.0,29.0,48.725,43.175,50.63,279.42,28.2488,3.5,96.7908,64.68,67.4,43.57,17.98,214.05,21.645,5.495,175.1,67.22,20.365,91.55,25.205,75.56,16.788,8.2637,105.45
2017-08-04,214.2,18.3771,5.8902,14.455,37.665,124.45,40.595,63.41,119.85,440.65,59.96,13.845,58.8,17.3644,14.56,68.8,100.15,14.97,79.6018,73.32,75.67,81.77,81.1677,48.25,34.58,59.98,221.9,29.175,49.83,43.645,51.7,283.37,28.6568,3.5,96.9798,67.05,67.4,43.92,18.095,214.2,22.165,5.567,176.55,68.12,20.7,92.1,25.47,77.05,16.828,8.3698,107.0
2017-08-07,212.7,18.3192,5.8102,14.51,37.69,124.2,40.49,63.57,119.05,444.95,59.96,13.775,58.47,17.2788,14.67,69.14,99.79,15.25,79.1886,72.43,75.96,81.75,81.2373,48.405,34.21,59.73,222.5,29.3375,50.27,43.665,52.02,285.6,28.5595,3.5,96.9042,67.56,67.4,43.84,18.08,212.7,23.2,5.529,176.05,68.55,20.55,91.53,25.51,77.35,16.772,8.3124,106.65
2017-08-08,212.8,18.3819,5.7928,14.47,37.91,124.85,40.29,63.27,119.4,443.05,59.96,13.835,58.51,17.223,14.83,70.2,98.88,15.675,79.3013,72.11,76.08,81.63,81.7346,48.165,34.05,60.03,222.75,29.6625,49.955,44.32,51.94,287.04,28.7032,3.5,97.2823,67.2,67.4,43.915,18.205,212.8,23.285,5.518,176.5,68.89,20.485,91.98,25.67,77.31,16.75,8.3344,106.65
2017-08-09,211.65,18.3192,5.6256,14.325,37.5,122.45,39.895,62.46,117.75,436.35,59.96,13.68,57.64,17.0891,14.59,68.04,98.53,15.35,78.2494,71.49,75.65,81.42,80.4018,47.35,33.775,59.4,217.15,29.4125,48.44,44.43,51.66,284.16,28.2952,3.5,97.0933,66.63,67.4,43.45,18.17,211.65,22.955,5.412,175.6,67.27,20.32,90.2,25.34,76.92,16.638,8.3096,105.7
2017-08-10,210.85,18.3626,5.5936,14.285,37.645,121.7,39.5,62.29,117.35,435.45,59.96,13.74,57.88,17.1226,14.36,67.04,98.32,15.205,77.4981,71.0,75.38,81.25,80.3621,46.79,33.67,59.19,215.15,29.425,47.89,43.635,51.11,282.16,28.1746,3.5,95.959,65.49,67.4,43.54,18.205,210.85,22.93,5.356,173.7,66.69,20.16,89.83,24.97,76.61,16.462,8.3306,105.25
