,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,CAP FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,ERF FP Equity,GLE FP Equity,SGO FP Equity,STLAP FP Equity,VIV FP Equity,WLN FP Equity,OR FP Equity,ORA FP Equity
2015-02-05,10.86,83.3876,20.72,49.62,48.41,26.742,59.12,47.005,67.94,107.8,297.5,7.609,68.33,48.145,168.25,28.45,65.45,11.828,96.2,32.0,19.145,71.12,60.57,84.0718,65.02,48.08,258.6,15.8944,48.275,153.5,22.2725,20.5973,23.705,36.82,38.985,,6.0661,15.895,158.0,15.85
2015-02-06,10.975,82.107,20.86,49.405,48.345,26.6493,58.89,47.17,67.59,105.75,293.35,7.677,68.0,48.92,169.97,28.105,65.38,11.606,95.97,31.97,19.01,71.15,60.36,84.5393,64.4,47.68,256.45,15.6967,46.94,152.8,22.05,20.3321,23.57,37.22,38.55,,6.0515,15.9,157.6,15.97
2015-02-09,10.845,82.1436,20.43,50.48,48.235,26.2691,58.5,45.7,66.79,105.8,287.75,7.525,67.24,49.005,167.78,28.29,64.96,11.534,95.1,32.04,18.685,68.23,59.18,84.3603,64.05,47.95,250.5,15.4653,46.84,150.6,21.585,20.9904,23.23,36.435,38.25,,5.9585,15.7,155.95,15.6
2015-02-10,11.0,83.1315,20.855,51.34,49.735,26.4499,58.67,46.17,67.25,107.15,293.4,7.75,67.7,50.83,170.48,28.41,65.9,11.65,95.77,32.75,18.96,69.03,60.53,84.8078,65.42,47.35,254.1,15.6678,47.375,156.15,21.0325,20.6694,23.175,36.55,38.815,,6.0021,15.935,157.55,16.075
2015-02-11,10.835,83.0583,20.655,51.15,49.42,26.0327,58.67,46.065,67.05,107.6,294.25,7.81,68.2,50.5,170.15,28.145,64.98,11.662,95.15,33.025,18.775,69.21,60.3,84.5393,65.37,46.95,252.8,15.7112,47.05,156.55,21.0,20.3228,22.955,36.31,38.34,,6.0297,15.94,158.4,15.97
2015-02-12,11.335,84.7414,20.845,51.41,49.775,26.2274,58.14,47.25,69.56,103.2,292.75,7.959,68.59,50.74,169.83,28.73,65.69,11.612,96.2,33.545,18.8,77.2,60.77,84.4597,66.12,47.35,255.15,15.6919,46.65,159.15,21.07,21.2068,23.305,36.905,39.18,,6.0486,16.0,157.9,16.105
2015-02-13,11.965,84.8512,20.84,51.71,49.75,26.5195,57.92,48.41,69.94,103.7,294.25,7.79,69.46,50.38,170.01,28.885,65.65,11.578,96.16,33.655,18.72,79.35,60.46,86.2599,65.74,47.375,256.3,15.8413,47.01,158.5,21.04,22.2699,22.9,38.4,39.79,,6.0225,16.0,156.05,16.195
2015-02-16,11.915,84.1194,20.535,52.74,50.45,26.6957,57.2,49.175,70.6,103.3,290.1,7.781,69.09,50.23,168.39,28.955,66.14,11.678,95.4,34.925,18.6,80.0,60.81,85.2554,65.48,47.115,255.9,15.7738,46.34,156.95,20.97,22.898,23.09,38.62,40.27,,6.0123,15.91,154.5,16.345
2015-02-17,11.975,83.4974,20.605,52.49,50.67,26.7791,57.85,49.52,69.62,103.6,287.65,7.732,69.15,50.31,165.97,28.985,64.63,11.596,95.07,35.0,18.74,81.02,60.51,85.0664,65.5,47.28,256.2,15.7449,46.95,157.6,20.8775,22.5444,23.0,38.5,40.265,,6.0515,16.0,155.4,16.07
2015-02-18,12.885,84.0828,21.005,52.48,51.39,26.5612,58.22,50.91,71.08,102.35,290.4,7.804,70.01,51.51,166.16,29.14,64.84,11.74,96.33,34.735,18.68,83.11,61.2,86.24,65.87,47.265,253.75,15.8028,47.885,158.75,21.2375,22.9748,23.055,40.045,40.81,,6.0893,16.075,155.45,15.435
2015-02-19,12.78,84.5219,21.25,52.68,51.99,26.5937,59.15,51.43,71.65,103.9,289.3,7.706,71.42,51.56,166.3,29.6,67.99,12.008,100.5,34.89,18.68,84.36,61.2,87.3639,66.36,45.98,258.85,15.9281,48.155,160.8,21.285,22.5118,23.075,40.18,41.26,,6.1969,16.59,157.1,15.86
2015-02-20,12.895,84.778,21.15,52.72,52.46,26.4592,60.0,51.29,71.28,103.2,286.35,7.82,71.38,51.8,166.95,29.55,68.04,12.06,99.31,35.33,18.59,85.15,61.63,86.9163,66.2,46.035,255.85,15.9956,48.4,161.0,21.3925,22.4164,23.215,40.455,41.505,,6.1489,16.47,157.6,15.695
2015-02-23,12.77,84.8146,21.295,52.82,52.84,26.4499,59.73,51.76,72.03,104.65,285.15,7.86,71.33,52.19,166.48,29.445,69.23,12.304,101.5,35.22,18.805,85.03,61.69,88.5673,66.41,46.29,259.0,16.0486,49.07,161.25,21.5,22.2373,23.315,40.45,41.64,,6.2187,16.5,158.75,15.9
