,CAP FP Equity,DSY FP Equity,PUB FP Equity,RI FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,ACA FP Equity,AI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,CS FP Equity,DG FP Equity,TEP FP Equity,TTE FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,ERF FP Equity,GLE FP Equity,AIR FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,SGO FP Equity,VIV FP Equity,WLN FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,OR FP Equity,ORA FP Equity
2015-02-16,10820.0381,14975.2602,15613.0851,27418.0513,20604.4552,11738.9056,45296.2994,30697.3976,39655.3891,30625.6865,7086.9694,40398.054,23657.7832,25359.5682,113096.1762,50154.2909,31149.3243,3745.5667,112381.974,10452.0309,22870.4805,21279.4314,3513.5989,31097.1568,39594.0277,25095.5194,9199.2578,12347.3812,8917.026,36824.902,61269.967,22627.7214,27951.1001,2098.952,79690.3279,15578.7133,16392.4555,86710.098,43296.0335
2015-02-17,10573.0128,14870.1077,15396.3595,27497.6778,20533.1819,11764.1144,45637.2393,30851.9795,39362.1566,30367.0414,7042.34,40433.137,23959.4199,25234.4594,112845.4964,50325.2576,31001.6692,3746.7107,112775.5434,10468.6776,22544.8813,21301.4788,3499.9036,31000.5318,39766.6875,25124.9397,9182.3887,12509.9169,8944.9014,37243.3667,61699.8224,22624.9119,28133.5662,2110.8254,80020.3611,15509.9947,16139.3159,87215.2054,42567.59
2015-02-18,10607.3673,15054.7658,15719.2364,27165.9008,20805.3162,11675.0432,45491.1222,33196.4723,39638.1401,30657.3573,7107.9179,40935.993,24577.4795,25522.2098,114402.35,51302.21,30995.763,3767.8754,112739.7644,10718.3777,22570.1346,21415.3904,3508.273,32244.5791,40331.7559,24884.6739,9216.1268,12759.0494,8872.1156,37481.5698,63431.7035,22931.1475,28309.2743,2120.7199,80604.2661,15779.2914,16447.4135,87243.2669,40885.5477
2015-02-19,11122.6851,15398.4351,15845.291,27577.3043,21705.9512,11727.1414,45491.1222,32925.9539,39845.1278,30541.231,7018.659,41760.4431,24947.1324,25522.2098,115893.2352,51900.5933,31113.8871,3795.9042,109674.693,10728.7819,22589.0745,21753.4508,3511.3164,32353.2823,40802.6462,25384.8191,9289.226,12830.9915,8882.9561,38080.2963,64079.6015,23184.0026,28809.3665,2188.6621,81645.14,15814.5835,16116.0004,88169.2971,42011.324
2015-02-20,11130.8648,15465.1172,15763.4661,27391.5092,21448.9355,11875.0332,45271.9465,33222.236,39965.8706,30229.8012,7122.4907,41737.0545,25180.753,25701.5325,115299.5199,51656.3552,31137.5119,3786.7519,109805.8829,10778.7219,22677.4611,21716.7051,3532.6201,32574.7146,41171.5103,25090.616,9328.5872,12896.2722,8838.0457,38627.5195,63905.1674,23321.6681,28586.3524,2172.8309,81746.6887,15894.4551,16047.7194,88449.9123,41574.2579
2015-02-23,11325.5404,15778.0101,15929.3274,27776.3705,21921.9308,11838.0602,45795.5328,32900.1903,39983.1196,30103.1179,7158.9229,41707.8186,25145.2663,25726.5543,117489.6698,52010.5004,31196.5739,3798.7643,110414.1266,10859.8745,22614.3278,21639.5392,3547.8371,32570.6886,41469.7408,25399.5292,9359.5138,13074.7949,8834.9485,38453.6957,64490.7675,23397.5246,28910.7365,2176.7887,81873.6246,15974.3268,15919.4842,89095.3272,42117.2794
2015-02-24,11531.6675,15734.4102,15986.8261,27710.0151,22170.3074,11918.7285,46854.8817,33003.2449,40207.3563,29923.6499,7204.4631,41479.7793,25118.6513,25405.4415,117093.8596,52352.4337,31397.3849,3808.4886,112548.9428,10774.5603,22765.8476,21665.2612,3571.4234,32860.5637,40692.7718,25522.1138,9598.492,13032.1626,8858.1779,38942.9776,64764.8782,23383.4771,29140.5086,2176.7887,81848.2374,16022.6213,16140.9813,89404.0039,42726.5231
2015-02-25,11476.0459,15895.9861,15889.5207,27564.0332,22181.1064,11965.7849,46976.646,32307.6262,40276.3521,30029.2193,7198.0875,41666.8885,24456.2334,26285.3739,117555.6382,53732.3789,31237.9174,3788.468,112942.5123,10726.7011,22608.0145,21488.8818,3567.6192,32365.3604,40339.6041,25306.3649,9469.1626,13028.1659,8986.7144,38930.1018,63543.8397,23119.384,29140.5086,2182.0658,82051.3348,15703.1347,16017.7423,89488.1885,42858.9674
2015-02-26,11729.615,16029.3503,16090.7659,28121.4186,22386.287,12011.1608,47427.1737,32487.9718,40552.3357,29897.2575,7284.6139,41871.5392,24926.4318,26072.6888,115497.425,54880.2979,31580.4772,3906.8755,112703.9854,10514.456,22936.3074,21687.3086,3642.9432,32989.3971,40520.112,25541.7273,9547.8849,13126.7531,9079.6324,39818.5347,64303.8739,22644.5784,29431.1028,2203.1741,82229.045,15634.408,16275.8781,90470.3417,43574.1664
2015-02-27,11822.863,16037.0444,16115.0922,28121.4186,22559.0707,11908.6449,48401.2876,32384.9171,40742.0744,30440.94,7268.2195,42087.8843,25387.7586,26231.16,115708.5238,55417.6217,31314.698,3948.6327,115053.4758,10697.5694,22980.5007,21727.7288,3689.3549,33267.1941,43423.9357,25262.2345,9784.0516,13162.7241,9152.4181,40127.5549,64901.9336,22608.0548,29485.1668,2203.1741,83219.1446,15970.6118,16270.8819,91059.6337,43176.8336
2015-03-02,11867.0331,16021.6562,16121.7267,27935.6234,22569.8697,12033.0084,47341.9387,32835.7811,40621.3316,30345.9275,7464.0424,41473.9321,25236.9402,26589.8055,114141.0762,54868.086,31332.4166,3935.4763,112560.8692,10608.0935,22923.6807,21790.1965,3579.7927,33404.0795,44020.3967,25492.6935,9803.7322,12864.2979,9215.9121,39786.3451,65462.6145,22405.7708,28032.1962,2200.5355,83650.7265,15833.1583,16019.4077,90975.4491,43070.8782
